framework,version,device,op_name,kernel_source,nccl_dtype,num_gpus,message_size,latency
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,256,0.01087
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,512,0.01089
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,1024,0.010920000000000001
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,2048,0.0115
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,4096,0.013380000000000001
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,8192,0.013890000000000001
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,16384,0.01435
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,32768,0.014369999999999999
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,65536,0.01461
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,131072,0.01484
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,262144,0.01752
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,524288,0.02208
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,1048576,0.0305
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,2097152,0.048979999999999996
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,4194304,0.05346
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,8388608,0.0731
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,16777216,0.11170999999999999
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,33554432,0.19043000000000002
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,67108864,0.34098
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,134217728,0.65777
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,half,2,268435456,1.29348
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,512,0.0109
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,1024,0.01086
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,2048,0.01093
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,4096,0.01153
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,8192,0.01335
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,16384,0.014070000000000001
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,32768,0.01453
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,65536,0.01442
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,131072,0.01459
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,262144,0.01476
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,524288,0.01734
