framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,67108864,0.8947404479980469,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,134217728,1.4321151733398438,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,134217728,1.73154296875,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,268435456,2.8004864501953124,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,268435456,3.3802343749999997,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,536870912,5.376481323242187,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,536870912,6.541107177734375,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,128,0.004976640045642853,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,128,0.046786561012268066,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,256,0.005048320293426513,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,256,0.08578047752380372,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,512,0.0050995200872421265,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,512,0.08574975967407227,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,1024,0.005130239725112915,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,1024,0.08578047752380372,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,2048,0.005294079780578613,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,2048,0.08542207717895509,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,4096,0.005427200198173523,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,4096,0.05948416233062744,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,8192,0.0059699201583862304,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,8192,0.055326719284057614,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,16384,0.0060211199522018435,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,16384,0.04649983882904053,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,32768,0.006369280219078064,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,32768,0.04707327842712402,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,65536,0.007823359966278077,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,65536,0.04651008129119873,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,131072,0.010424319505691528,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,131072,0.0467251205444336,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,262144,0.014766080379486086,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,262144,0.04743167877197266,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,524288,0.018339840173721315,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,524288,0.08351743698120118,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,1048576,0.025937919616699216,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,1048576,0.047964158058166506,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,2097152,0.04058112144470215,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,2097152,0.053196802139282226,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,4194304,0.11860992431640624,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,4194304,0.12523520469665528,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,8388608,0.1844121551513672,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,8388608,0.2043801689147949,vllm_eager
