framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,12288,64,8,128,1,float16,float16,0,13.592917124430338
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,10240,64,1,128,1,float16,float16,0,38.13717397054037
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,10240,64,64,128,1,float16,float16,0,39.02583567301432
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,10240,64,2,128,1,float16,float16,0,38.27848561604818
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,10240,64,4,128,1,float16,float16,0,38.19571177164713
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,10240,64,64,128,1,float16,float16,0,19.53638458251953
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,10240,64,1,128,1,float16,float16,0,19.137364705403645
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,10240,64,2,128,1,float16,float16,0,18.93222427368164
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,10240,64,1,128,1,float16,float16,0,75.47955322265625
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,10240,64,2,128,1,float16,float16,0,76.28697713216145
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,10240,64,4,128,1,float16,float16,0,77.46201578776042
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,10240,64,64,128,1,float16,float16,0,9.946965535481771
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,4,10240,64,8,128,1,float16,float16,0,38.61213938395182
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,8,10240,64,8,128,1,float16,float16,0,77.06709289550781
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,10240,64,1,128,1,float16,float16,0,9.372842788696289
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,10240,64,4,128,1,float16,float16,0,18.979668935139973
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,10240,64,2,128,1,float16,float16,0,9.46602694193522
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,2,10240,64,8,128,1,float16,float16,0,19.307348887125652
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,context_attention,vllm_flash_attn,1,10240,64,8,128,1,float16,float16,0,9.513130823771158
