framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1,128,0.01228799968957901
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1,64,0.007884799689054488
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1,16,0.006451199948787689
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1,8,0.00727040022611618
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1,4,0.006348799914121628
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1,2,0.006348799914121628
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1,1,0.006553599983453751
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2,128,0.01443839967250824
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2,64,0.010547199845314026
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2,32,0.007065600156784058
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2,16,0.007065600156784058
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2,8,0.007372800260782242
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2,4,0.006758400052785873
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2,2,0.006348799914121628
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,2,1,0.006348799914121628
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4,128,0.014233599603176116
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4,32,0.007168000191450119
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4,16,0.006348799914121628
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4,8,0.006246399879455566
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4,2,0.007680000364780426
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4,1,0.006246399879455566
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8,128,0.01454080045223236
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8,64,0.010547199845314026
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8,32,0.007372800260782242
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8,16,0.00727040022611618
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,1,32,0.007065600156784058
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8,8,0.007577600330114365
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8,4,0.006963200122117996
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8,2,0.006963200122117996
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,8,1,0.006553599983453751
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,16,128,0.014847999811172486
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,16,64,0.010649599879980088
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,16,32,0.007475200295448303
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,16,16,0.006656000018119812
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,16,8,0.006553599983453751
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,16,2,0.006451199948787689
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,16,1,0.006553599983453751
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,32,128,0.015667200088500977
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,32,64,0.010956799983978272
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,32,32,0.007577600330114365
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,32,16,0.006451199948787689
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,32,8,0.006348799914121628
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,32,4,0.006656000018119812
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,32,2,0.006451199948787689
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,32,1,0.006143999844789505
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,128,0.016383999586105348
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,64,0.011366400122642516
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,32,0.010444799810647965
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,4,64,0.010751999914646149
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,16,0.007475200295448303
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,8,0.006451199948787689
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,4,0.006143999844789505
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,2,0.007372800260782242
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,mla_gen_pre,default,float16,48,1,0.007168000191450119
