framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,fp8,2047,0.03309866786003113
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,float16,4095,0.04980800052483877
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,fp8,4095,0.05745066702365875
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,1,0.012362666428089142
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,3,0.01246400053302447
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,fp8,1,0.013717333475748697
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,fp8,3,0.013733333597580591
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,7,0.012453333785136541
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,fp8,7,0.01368533323208491
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,15,0.012543999900420507
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,fp8,15,0.013823999712864557
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,31,0.012378666549921036
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,fp8,31,0.013647999614477158
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,63,0.01259200026591619
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,fp8,63,0.013839999834696451
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,fp8,127,0.015210667004187902
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,127,0.012719999998807907
